gene_category	subcategory
IG_C_gene	protein_coding
IG_D_gene	protein_coding
IG_J_gene	protein_coding
IG_V_gene	protein_coding
TR_C_gene	protein_coding
TR_D_gene	protein_coding
TR_J_gene	protein_coding
TR_V_gene	protein_coding
protein_coding	protein_coding
IG_C_pseudogene	pseudogene
IG_J_pseudogene	pseudogene
IG_V_pseudogene	pseudogene
TR_J_pseudogene	pseudogene
TR_V_pseudogene	pseudogene
transcribed_processed_pseudogene	pseudogene
transcribed_unitary_pseudogene	pseudogene
transcribed_unprocessed_pseudogene	pseudogene
polymorphic_pseudogene	pseudogene
processed_pseudogene	pseudogene
translated_processed_pseudogene	pseudogene
translated_unprocessed_pseudogene	pseudogene
unitary_pseudogene	pseudogene
unprocessed_pseudogene	pseudogene
pseudogene	pseudogene
lncRNA	lncRNA
miRNA	non-coding RNA
misc_RNA	non-coding RNA
sRNA	non-coding RNA
scaRNA	non-coding RNA
scRNA	non-coding RNA
snoRNA	non-coding RNA
snRNA	non-coding RNA
rRNA_pseudogene	non-coding RNA
ribozyme	non-coding RNA
vault_RNA	non-coding RNA
rRNA	non-coding RNA
TEC	TEC
NA	NA
