gene_id	geneSymbol	mean	median	longest_isoform	merged	gene_category
ENSG00000121410.12	A1BG	1841	2134	3382	3999	protein_coding
ENSG00000268895.6	A1BG-AS1	1376	1056	2412	3374	lncRNA
ENSG00000148584.15	A1CF	5354	5716	9517	9603	protein_coding
ENSG00000175899.15	A2M	891	590	4610	6318	protein_coding
ENSG00000245105.4	A2M-AS1	2357	2551	2930	2948	lncRNA
ENSG00000166535.20	A2ML1	1749	592	5127	7156	protein_coding
ENSG00000256661.1	A2ML1-AS1	452	452	452	452	lncRNA
ENSG00000256904.1	A2ML1-AS2	386	386	386	386	lncRNA
ENSG00000256069.7	A2MP1	1715	1095	4130	4657	transcribed_unprocessed_pseudogene
ENSG00000184389.9	A3GALT2	1023	1023	1023	1023	protein_coding
ENSG00000128274.17	A4GALT	1419	1956	2321	3358	protein_coding
ENSG00000118017.4	A4GNT	1779	1779	1779	1779	protein_coding
ENSG00000094914.14	AAAS	1580	1704	2690	4727	protein_coding
ENSG00000081760.17	AACS	2148	2014	6646	16039	protein_coding
ENSG00000250420.8	AACSP1	1958	1958	2822	3380	transcribed_unprocessed_pseudogene
ENSG00000114771.14	AADAC	1141	1141	1563	1632	protein_coding
ENSG00000197953.6	AADACL2	4954	4954	5060	5071	protein_coding
ENSG00000242908.6	AADACL2-AS1	554	554	628	635	lncRNA
ENSG00000188984.12	AADACL3	3943	3943	4055	4055	protein_coding
ENSG00000204518.2	AADACL4	1575	1575	1575	1575	protein_coding
ENSG00000240602.7	AADACP1	729	713	1285	2012	transcribed_unprocessed_pseudogene
ENSG00000109576.14	AADAT	1457	1455	2250	2970	protein_coding
ENSG00000158122.12	AAED1	2149	2618	2899	3098	NA
ENSG00000103591.13	AAGAB	1439	1015	3132	4138	protein_coding
ENSG00000115977.20	AAK1	3546	965	21157	24843	protein_coding
ENSG00000087884.14	AAMDC	568	560	726	1943	protein_coding
ENSG00000127837.10	AAMP	1355	1447	2270	3055	protein_coding
ENSG00000129673.10	AANAT	1039	883	1913	2156	protein_coding
ENSG00000131043.12	AAR2	2190	2417	2689	3101	protein_coding
ENSG00000205002.4	AARD	1395	1395	2291	2404	protein_coding
ENSG00000090861.17	AARS	3141	3466	6004	10248	NA
ENSG00000124608.5	AARS2	2766	2766	4798	5242	protein_coding
ENSG00000266967.7	AARSD1	675	648	1320	3704	protein_coding
ENSG00000249038.2	AARSP1	453	453	453	453	NA
ENSG00000157426.14	AASDH	2456	2981	3581	4654	protein_coding
ENSG00000149313.11	AASDHPPT	2072	1252	5145	6003	protein_coding
ENSG00000008311.15	AASS	2853	2922	5825	6664	protein_coding
ENSG00000215458.8	AATBC	2473	1889	4598	4874	lncRNA
ENSG00000275700.5	AATF	866	586	2062	4635	protein_coding
ENSG00000181409.14	AATK	2661	938	11898	13177	protein_coding
ENSG00000254180.2	AB015752.1	2661	2661	3662	4788	NA
ENSG00000281376.1	ABALON	1903	1903	1903	1903	lncRNA
ENSG00000183044.12	ABAT	1655	1091	5586	9713	protein_coding
ENSG00000283544.1	ABBA01000935.2	838	838	838	838	unprocessed_pseudogene
ENSG00000265233.1	ABBA01006766.1	169	169	169	169	processed_pseudogene
ENSG00000165029.17	ABCA1	4818	1540	10413	11343	protein_coding
ENSG00000154263.17	ABCA10	2501	1289	6362	8405	protein_coding
ENSG00000251595.7	ABCA11P	1712	1659	2110	2790	transcribed_processed_pseudogene
ENSG00000144452.15	ABCA12	5596	7005	9298	9614	protein_coding
ENSG00000179869.15	ABCA13	6049	4377	17188	19075	protein_coding
ENSG00000238098.9	ABCA17P	1586	476	4188	6574	transcribed_unitary_pseudogene
ENSG00000107331.17	ABCA2	3064	941	8154	11507	protein_coding
ENSG00000167972.14	ABCA3	3339	2440	6602	7804	protein_coding
ENSG00000198691.13	ABCA4	2149	869	7328	8547	protein_coding
ENSG00000154265.16	ABCA5	2533	1774	8252	13158	protein_coding
ENSG00000154262.13	ABCA6	2821	1706	8186	14158	protein_coding
ENSG00000064687.13	ABCA7	1804	700	6883	9591	protein_coding
ENSG00000141338.14	ABCA8	2437	1622	6002	11246	protein_coding
ENSG00000154258.17	ABCA9	2257	1031	6377	9024	protein_coding
ENSG00000231749.3	ABCA9-AS1	572	550	838	2990	lncRNA
ENSG00000085563.15	ABCB1	1890	787	5205	6422	protein_coding
ENSG00000135776.5	ABCB10	1786	877	3869	4268	protein_coding
ENSG00000274099.1	ABCB10P1	2181	2181	2181	2181	processed_pseudogene
ENSG00000261524.1	ABCB10P3	2166	2166	2166	2166	processed_pseudogene
ENSG00000260053.2	ABCB10P4	2184	2184	2184	2184	processed_pseudogene
ENSG00000073734.10	ABCB11	2363	1699	6934	7715	protein_coding
ENSG00000005471.19	ABCB4	2164	2059	4293	7728	protein_coding
ENSG00000004846.16	ABCB5	2554	2225	5811	9257	protein_coding
ENSG00000115657.14	ABCB6	1240	793	3008	5205	protein_coding
ENSG00000131269.19	ABCB7	2011	2116	4595	5364	protein_coding
ENSG00000197150.13	ABCB8	1540	739	4656	9336	protein_coding
ENSG00000150967.18	ABCB9	2181	2134	6051	13291	protein_coding
ENSG00000103222.20	ABCC1	3855	3077	6594	8736	protein_coding
ENSG00000124574.15	ABCC10	1900	753	5088	8087	protein_coding
ENSG00000121270.16	ABCC11	3002	3601	5894	8469	protein_coding
ENSG00000140798.16	ABCC12	2744	3008	5168	8699	protein_coding
ENSG00000243064.8	ABCC13	2555	3055	4080	10722	transcribed_unprocessed_pseudogene
ENSG00000023839.12	ABCC2	1611	1130	5806	7837	protein_coding
ENSG00000108846.16	ABCC3	1655	785	5693	9615	protein_coding
ENSG00000125257.16	ABCC4	2712	2548	6171	8629	protein_coding
ENSG00000114770.17	ABCC5	2488	1848	5852	11365	protein_coding
ENSG00000223882.1	ABCC5-AS1	469	469	469	469	lncRNA
ENSG00000091262.16	ABCC6	2539	1914	5140	6932	protein_coding
ENSG00000256340.8	ABCC6P1	1371	983	2943	3431	transcribed_unprocessed_pseudogene
ENSG00000255277.3	ABCC6P2	648	648	706	1077	transcribed_unprocessed_pseudogene
ENSG00000006071.15	ABCC8	3125	3452	6565	12588	protein_coding
ENSG00000069431.11	ABCC9	3187	2672	8293	11616	protein_coding
ENSG00000101986.12	ABCD1	1784	1016	3669	4238	protein_coding
ENSG00000215151.4	ABCD1P2	1601	1601	1601	1601	unprocessed_pseudogene
ENSG00000261233.2	ABCD1P3	605	605	605	605	unprocessed_pseudogene
ENSG00000225293.1	ABCD1P4	604	604	604	604	unprocessed_pseudogene
ENSG00000214330.4	ABCD1P5	754	754	754	754	unprocessed_pseudogene
ENSG00000173208.4	ABCD2	6290	6290	6290	6290	protein_coding
ENSG00000117528.14	ABCD3	2407	3174	4367	7655	protein_coding
ENSG00000119688.21	ABCD4	1089	816	3035	8922	protein_coding
ENSG00000164163.11	ABCE1	1326	770	3887	6254	protein_coding
ENSG00000204574.14	ABCF1	2077	2860	3426	4496	protein_coding
ENSG00000033050.9	ABCF2	1479	941	4527	5158	protein_coding
ENSG00000242159.1	ABCF2P1	1867	1867	1867	1867	processed_pseudogene
ENSG00000228769.1	ABCF2P2	296	296	296	296	unprocessed_pseudogene
ENSG00000161204.11	ABCF3	1153	722	2844	5207	protein_coding
ENSG00000160179.19	ABCG1	2539	2976	3475	6121	protein_coding
ENSG00000118777.12	ABCG2	2921	4206	4844	5602	protein_coding
ENSG00000172350.10	ABCG4	2248	2506	3812	6231	protein_coding
ENSG00000138075.14	ABCG5	2800	2828	3033	3720	protein_coding
ENSG00000143921.9	ABCG8	4083	3058	7180	10179	protein_coding
ENSG00000143994.14	ABHD1	1361	1277	3107	4630	protein_coding
ENSG00000144827.9	ABHD10	1271	890	2604	3026	protein_coding
ENSG00000106077.18	ABHD11	921	786	1562	2289	protein_coding
ENSG00000225969.2	ABHD11-AS1	510	510	662	662	transcribed_unitary_pseudogene
ENSG00000100997.20	ABHD12	1099	1118	2035	4479	protein_coding
ENSG00000131969.15	ABHD12B	1299	1404	2863	4551	protein_coding
ENSG00000139826.6	ABHD13	5313	5313	5313	5313	protein_coding
ENSG00000248487.9	ABHD14A	890	933	1113	2378	protein_coding
ENSG00000114786.16	ABHD14A-ACY1	1921	1836	3628	4761	protein_coding
ENSG00000114779.19	ABHD14B	1574	1727	2236	3161	protein_coding
ENSG00000168792.5	ABHD15	3492	3492	3492	3492	protein_coding
ENSG00000264031.1	ABHD15-AS1	187	187	187	187	lncRNA
ENSG00000204427.12	ABHD16A	1096	890	2260	4059	protein_coding
ENSG00000183260.7	ABHD16B	1491	1491	1491	1491	protein_coding
ENSG00000129968.17	ABHD17A	2335	1692	5425	6163	protein_coding
